plan_region_name,plan_dc_name,code,plan_clustername,ClusterDC
West Europe,Amsterdam AMS06,2256919,NULL,NULL
North Europe,Dublin DUB06,2256920,NULL,NULL
North Europe,Dublin DUB06,2256921,NULL,NULL
Central India,Pune PNQ01,2256922,NULL,NULL
Central India,Pune PNQ01,2256923,NULL,NULL
Korea South,Busan PUS20,2256924,NULL,NULL
Korea South,Busan PUS20,2256925,NULL,NULL
East US,Blue Ridge BL20,2256926,NULL,NULL
East US,Blue Ridge BL20,2256927,NULL,NULL
East US,Blue Ridge BL20,2256928,NULL,NULL
East US,Blue Ridge BL20,2256929,NULL,NULL
East US,Blue Ridge BL20,2256930,NULL,NULL
East US,Blue Ridge BL20,2256931,NULL,NULL
USGov Texas,San Antonio IDC5,2256932,NULL,NULL
East US,Manassas MNZ20,2306341,NULL,NULL
West US 2,Quincy MWH02,2306342,NULL,NULL
North Europe,Dublin DUB06,2306343,NULL,NULL
East US 2,Boydton BN8,2306344,NULL,NULL
USGov Virginia,Boydton 1,2306345,NULL,NULL
North Europe,Dublin DUB21,2306346,NULL,NULL
France South,Marseille MRS20,2306347,NULL,NULL
UK South 2,London LON20,2306348,NULL,NULL
Canada East,Quebec YQB20,2306349,NULL,NULL
East Asia,Hong Kong HKG20,2306350,NULL,NULL
Southeast Asia,Singapore SIN20,2306351,NULL,NULL
West Europe,Amsterdam AMS20,2306352,NULL,NULL
Central US,Des Moines DSM06,2306353,NULL,NULL
Australia East,Sydney SYD21,2306354,NULL,NULL
Korea Central,Seoul SEL20,2306355,NULL,NULL
East US,Blue Ridge BL20,2306356,NULL,NULL
East US 2,Boydton BN7,2306357,NULL,NULL
South India,Chennai MAA01,2306358,NULL,NULL
East US,Blue Ridge BL20,2306359,NULL,NULL
West Europe,Amsterdam AMS20,2306360,NULL,NULL
Central India,Pune PNQ01,2306361,NULL,NULL
West Europe,Amsterdam AMS06,2306362,NULL,NULL
West US,Bay BY21,2306363,NULL,NULL
Australia East,Sydney SYD21,2306364,NULL,NULL
Central India,Pune PNQ01,2306365,NULL,NULL
Brazil South,Campinas CPQ20,2306366,NULL,NULL
West Europe,Amsterdam AMS20,2306367,NULL,NULL
Australia Southeast,Melbourne MEL20,2306368,NULL,NULL
East US,Blue Ridge BL20,2306369,NULL,NULL
USDoD Central,Des Moines 3,2306370,NULL,NULL
Southeast Asia,Singapore SIN20,2306371,NULL,NULL
West Europe,Amsterdam AMS06,2306373,AMS06PrdGPC02,AMS
South Central US,San Antonio IDC6,2306374,NULL,NULL
West Central US,Cheyenne-CYS02,2306375,NULL,NULL
North Europe,Dublin DUB24,2306376,NULL,NULL
North Europe,Dublin DUB07,2306377,NULL,NULL
North Central US,Chicago CHI21,2306378,NULL,NULL
West Europe,Amsterdam AMS20,2306379,NULL,NULL
UK South,London LON21,2306381,NULL,NULL
West Europe,Amsterdam AMS06,2306382,NULL,NULL
Japan West,Osaka OSA21,2306383,NULL,NULL
Canada Central,Toronto YTO20,2306385,NULL,NULL
West US,Bay IDC5,2306386,NULL,NULL
USGov Arizona,Phoenix PHX21,2306387,NULL,NULL
Germany Central,Frankfurt FRA20,2306388,NULL,NULL
UK West,Cardiff CWL20,2306389,NULL,NULL
France South,Marseille MRS20,2306390,NULL,NULL
East US,Blue Ridge BL20,2306391,NULL,NULL
East US 2,Boydton BN7,2306392,NULL,NULL
North Europe,Dublin DUB07,2306394,NULL,NULL
Southeast Asia,Singapore SIN20,2306395,NULL,NULL
USGov Virginia,Boydton 1,2306396,NULL,NULL
France South,Marseille MRS20,2306397,NULL,NULL
West Central US,Cheyenne CYS04,2306398,NULL,NULL
East Asia,Hong Kong HKG20,2306399,NULL,NULL
West US 2,Quincy MWH02,2306400,MWZ02PrdGPC02,MWZ
West Central US,Cheyenne CYS04,2306401,NULL,NULL
North Europe,Dublin DUB24,2306402,NULL,NULL
West Europe,Amsterdam AMS06,2306403,NULL,NULL
Australia East,Sydney SYD21,2306404,NULL,NULL
Germany Central,Frankfurt FRA20,2306405,NULL,NULL
West Central US,Cheyenne-CYS01,2306406,NULL,NULL
West Europe,Amsterdam AMS06,2306407,AMS06PrdGPC03,AMS
USDoD East,Boydton 3,2306408,NULL,NULL
Japan East,Tokyo TYO22,2306409,NULL,NULL
USGov Iowa,Des Moines 4,2306410,NULL,NULL
East US,Blue Ridge BL20,2306411,NULL,NULL
East US 2,Boydton BN7,2306412,NULL,NULL
Canada Central,Toronto YTO21,2306413,NULL,NULL
East US 2,Boydton BN8,2306414,NULL,NULL
East US,Blue Ridge BL6,2306415,NULL,NULL
East US,Blue Ridge BL5,2199071,NULL,NULL
Central US,Des Moines DSM05,2199072,NULL,NULL
East US,Blue Ridge BL5,2199073,NULL,NULL
East US,Blue Ridge BL5,2199074,NULL,NULL
East US,Blue Ridge BL5,2199075,NULL,NULL
East US 2,Boydton BN8,2199076,NULL,NULL
West Europe,Amsterdam AMS20,2199077,NULL,NULL
West Europe,Amsterdam AMS20,2199078,NULL,NULL
West Europe,Amsterdam AMS20,2199079,NULL,NULL
North Europe,Dublin DUB20,2199080,NULL,NULL
China North,China Telecom: Yongfeng,2199081,NULL,NULL
North Europe,Dublin DUB20,2199082,NULL,NULL
Japan East,Tokyo TYO01,2199083,NULL,NULL
Japan East,Tokyo TYO21,2199084,NULL,NULL
Japan East,Tokyo TYO21,2199085,NULL,NULL
South India,Chennai MAA01,2199086,NULL,NULL
Australia Southeast,Melbourne MEL20,2199087,NULL,NULL
Brazil South,Campinas CPQ02,2199088,NULL,NULL
Canada East,Quebec YQB20,2199089,NULL,NULL
China East,Shanghai SHA03,2199090,NULL,NULL
Southeast Asia,Singapore IDC2,2199091,NULL,NULL
Australia East,Sydney SYD03,2199092,NULL,NULL
Australia East,Sydney SYD03,2199093,NULL,NULL
China East,Shanghai SHA03,2199094,NULL,NULL
China East,Shanghai SHA03,2199095,NULL,NULL
East Asia,Hong Kong 2,2199096,NULL,NULL
West US,Bay IDC4,2199097,NULL,NULL
West US,Bay IDC4,2199098,NULL,NULL
West US,Bay IDC4,2199099,NULL,NULL
West Central US,Cheyenne CYS04,2199100,NULL,NULL
West US 2,Quincy MWH01,2199101,NULL,NULL
Southeast Asia,Singapore IDC2,2199102,NULL,NULL
East Asia,Hong Kong HKG20,2199103,NULL,NULL
South Central US,San Antonio IDC3,2199104,NULL,NULL
West US,Bay IDC4,2199105,NULL,NULL
USGov Wyoming,Cheyenne-CYS01,2199106,NULL,NULL
North Central US,Chicago CHI23,2199107,NULL,NULL
North Central US,Chicago CHI23,2199108,NULL,NULL
South Central US,San Antonio IDC1,2199109,NULL,NULL
South Central US,San Antonio SAT12,2199110,NULL,NULL
West US,Bay IDC4,2199111,NULL,NULL
West US,Bay IDC4,2199112,NULL,NULL
Germany Central,Frankfurt FRA20,2199113,NULL,NULL
West US,Bay IDC4,2199114,NULL,NULL
Japan East,Tokyo TYO01,2199115,NULL,NULL
South Central US,San Antonio IDC5,2199116,NULL,NULL
West Europe,Amsterdam AMS20,2199117,NULL,NULL
West Europe,Amsterdam AMS20,2199118,NULL,NULL
West US,Bay IDC4,2199119,NULL,NULL
East US,Blue Ridge BL5,2199120,NULL,NULL
Central US,Des Moines DSM05,2199121,NULL,NULL
West US,Bay IDC4,2199122,NULL,NULL
East US,Blue Ridge BL5,2199123,NULL,NULL
West US 2,Quincy MWH01,2199124,NULL,NULL
North Europe,Dublin DUB20,2199125,NULL,NULL
West Europe,Amsterdam AMS20,2199126,NULL,NULL
Japan West,Osaka OSA22,2199127,NULL,NULL
Japan West,Osaka OSA22,2199128,NULL,NULL
Central US,Des Moines DSM05,2199129,NULL,NULL
UK South,London LON21,2199130,NULL,NULL
UK South,London LON21,2199131,NULL,NULL
Korea South,Busan PUS20,2199132,NULL,NULL
East US,Blue Ridge BL20,2199133,NULL,NULL
Central US,Des Moines DSM05,2199134,NULL,NULL
Central US,Des Moines DSM05,2199135,NULL,NULL
West Central US,Cheyenne CYS04,2199136,NULL,NULL
Japan East,Tokyo TYO01,2199137,NULL,NULL
West US,Bay IDC4,2199138,NULL,NULL
East Asia,Hong Kong 2,2199139,NULL,NULL
East Asia,Hong Kong HKG20,2199140,NULL,NULL
Australia East,Sydney SYD03,2199141,NULL,NULL
Southeast Asia,Singapore IDC2,2199142,NULL,NULL
Australia East,Sydney SYD03,2199143,NULL,NULL
Southeast Asia,Singapore IDC2,2199144,NULL,NULL
Australia Southeast,Melbourne MEL20,2199145,NULL,NULL
Australia East,Sydney SYD03,2199146,NULL,NULL
Canada Central,Toronto YTO20,2199147,NULL,NULL
Australia Southeast,Melbourne MEL20,2199148,NULL,NULL
China East,Shanghai SHA03,2199149,NULL,NULL
North Europe,Dublin-DB5,2199150,NULL,NULL
East US,Blue Ridge BL5,2199151,NULL,NULL
East US,Blue Ridge BL20,2199152,NULL,NULL
East US 2,Boydton BN7,2199153,NULL,NULL
East US 2,Boydton BN7,2199154,NULL,NULL
East US 2,Boydton BN7,2199155,NULL,NULL
USGov Iowa,Des Moines 2,2199156,NULL,NULL
China North,China Telecom: Yongfeng,2199157,NULL,NULL
USGov Virginia,Boydton 1,2199158,NULL,NULL
China North,China Telecom: Yongfeng,2199159,NULL,NULL
Brazil South,Campinas CPQ02,2199160,NULL,NULL
West Europe,Amsterdam AMS20,2199161,NULL,NULL
Germany NorthEast,Leipzig-Halle LEJ20,2199162,NULL,NULL
North Europe,Dublin DUB20,2199163,NULL,NULL
Australia East,Sydney SYD20,2199164,NULL,NULL
West Europe,Amsterdam AMS20,2199165,NULL,NULL
Australia East,Sydney SYD20,2199166,NULL,NULL
North Europe,Dublin DUB20,2199167,NULL,NULL
North Europe,Dublin DUB20,2199168,NULL,NULL
Southeast Asia,Singapore IDC2,2199169,NULL,NULL
China North,China Telecom: Yongfeng,2199170,NULL,NULL
East Asia,Hong Kong HKG20,2199171,NULL,NULL
China North,China Telecom: Yongfeng,2199172,NULL,NULL
Southeast Asia,Singapore IDC2,2199173,NULL,NULL
East Asia,Hong Kong HKG20,2199174,NULL,NULL
West US,Bay IDC4,2199175,NULL,NULL
West US,Bay IDC4,2199176,NULL,NULL
North Europe,Dublin DUB20,2199177,NULL,NULL
China North,China Telecom: Yongfeng,2199178,NULL,NULL
China North,China Telecom: Yongfeng,2199179,NULL,NULL
China East,Shanghai SHA03,2199180,NULL,NULL
South India,Chennai MAA01,2199181,NULL,NULL
West Europe,Amsterdam AMS07,2199182,NULL,NULL
West Europe,Amsterdam AMS06,2199183,NULL,NULL
North Europe,Dublin DUB20,2199184,NULL,NULL
North Europe,Dublin DUB20,2199185,NULL,NULL
Central US,Des Moines DSM05,2199186,NULL,NULL
West US,Bay IDC4,2199187,NULL,NULL
East US,Blue Ridge BL5,2199188,NULL,NULL
Japan East,Tokyo TYO21,2199189,NULL,NULL
USGov Virginia,Boydton 1,2199190,NULL,NULL
Japan West,Osaka OSA20,2199191,NULL,NULL
North Central US,Chicago CHI23,2199192,NULL,NULL
Central US,Des Moines DSM05,2199193,NULL,NULL
South Central US,San Antonio SAT12,2199194,NULL,NULL
East US 2,Boydton BN8,2199195,NULL,NULL
East US 2,Boydton BN8,2199196,NULL,NULL
Germany NorthEast,Leipzig-Halle LEJ20,2199197,NULL,NULL
West Europe,Amsterdam AMS07,2199198,NULL,NULL
South India,Chennai MAA20,2199199,NULL,NULL
Central India,Pune PNQ20,2199200,NULL,NULL
West Europe,Amsterdam AMS07,2199201,NULL,NULL
East US,Blue Ridge BL5,2199202,NULL,NULL
Japan West,Osaka OSA22,2199203,NULL,NULL
North Central US,Chicago CHI23,2199204,NULL,NULL
East US 2,Boydton BN8,2199205,NULL,NULL
Japan East,Tokyo TYO21,2199206,NULL,NULL
Japan East,Tokyo TYO01,2199207,NULL,NULL
Japan East,Tokyo TYO21,2199208,NULL,NULL
North Europe,Dublin-DB5,2199209,NULL,NULL
Japan East,Tokyo TYO01,2199210,NULL,NULL
Japan East,Tokyo TYO01,2199211,NULL,NULL
Japan East,Tokyo TYO01,2199212,NULL,NULL
West US,Bay IDC4,2199213,NULL,NULL
West US,Bay IDC4,2199214,NULL,NULL
Australia East,Sydney SYD20,2199215,NULL,NULL
Australia East,Sydney SYD03,2199216,NULL,NULL
Australia East,Sydney SYD03,2199217,NULL,NULL
West US,Bay IDC4,2199218,NULL,NULL
West Central US,Cheyenne CYS04,2199219,NULL,NULL
West US 2,Quincy MWH01,2199220,NULL,NULL
West US 2,Quincy MWH01,2199221,NULL,NULL
West US,Bay IDC5,2199222,NULL,NULL
West US,Bay IDC4,2199223,NULL,NULL
West US,Bay IDC5,2199224,NULL,NULL
West Central US,Cheyenne CYS04,2199225,NULL,NULL
Canada East,Quebec YQB20,2199226,YQ1PrdApp03-02,YQ1
Australia Southeast,Melbourne MEL01,2199227,NULL,NULL
North Europe,Dublin-DB5,2199228,NULL,NULL
North Europe,Dublin DUB20,2199229,NULL,NULL
China East,Shanghai SHA03,2199230,NULL,NULL
China East,Shanghai SHA03,2199231,NULL,NULL
China East,Shanghai SHA03,2199232,NULL,NULL
North Europe,Dublin DUB20,2199233,NULL,NULL
Japan East,Tokyo TYO22,2199234,NULL,NULL
Japan East,Tokyo TYO22,2199235,NULL,NULL
Japan West,Osaka OSA20,2199236,NULL,NULL
East US,Blue Ridge BL20,2199237,NULL,NULL
USGov Virginia,Boydton 1,2199238,NULL,NULL
East US,Blue Ridge BL20,2199239,NULL,NULL
USGov Virginia,Boydton 1,2199240,NULL,NULL
East US 2,Boydton BN7,2199241,NULL,NULL
North Central US,Chicago CHI21,2199242,NULL,NULL
East US 2,Boydton BN7,2199243,NULL,NULL
North Central US,Chicago CHI21,2199244,NULL,NULL
USGov Iowa,Des Moines 2,2199245,NULL,NULL
South Central US,San Antonio IDC4,2199246,NULL,NULL
East US 2,Boydton BN7,2199247,NULL,NULL
West US,Bay BY24,2199248,NULL,NULL
Central US,Des Moines DSM06,2199249,NULL,NULL
East US,Blue Ridge BL20,2199250,NULL,NULL
West US,Bay BY24,2199251,NULL,NULL
West US,Bay BY21,2199252,NULL,NULL
Central India,Pune PNQ01,2199253,NULL,NULL
South India,Chennai MAA01,2199254,NULL,NULL
South India,Chennai MAA01,2306416,NULL,NULL
USGov Texas,San Antonio IDC5,2306417,NULL,NULL
Australia Southeast,Melbourne MEL20,2306418,NULL,NULL
Central US,Des Moines DSM06,2306419,NULL,NULL
North Europe,Dublin DUB21,2306420,NULL,NULL
USGov Arizona,Phoenix PHX20,2306421,NULL,NULL
Canada East,Quebec YQB20,2306422,NULL,NULL
Germany Central,Frankfurt FRA20,2306423,NULL,NULL
Central India,Pune PNQ01,2306424,NULL,NULL
China East,Shanghai A: China Telecom,2306425,NULL,NULL
Australia East,Sydney SYD22,2306427,NULL,NULL
South Central US,San Antonio IDC6,2306428,NULL,NULL
West US,Bay BY24,2306429,NULL,NULL
Central US,Des Moines DSM06,2306430,NULL,NULL
Brazil South,Campinas CPQ20,2306431,NULL,NULL
West Europe,Amsterdam AMS06,2306432,NULL,NULL
UK South,London LON21,2306434,NULL,NULL
USGov Texas,San Antonio IDC5,2306435,NULL,NULL
West Europe,Amsterdam AMS07,2306436,NULL,NULL
China East,Shanghai SHA03,2306437,NULL,NULL
UK South,London LON21,2306438,NULL,NULL
Central India,Pune PNQ01,2306439,NULL,NULL
East US 2,Boydton BN7,2306440,NULL,NULL
West US 2,Quincy MWH02,2306441,NULL,NULL
Australia East,Sydney SYD21,2306442,NULL,NULL
South Central US,San Antonio IDC6,2306443,NULL,NULL
UK South,London LON21,2306444,NULL,NULL
West Europe,Amsterdam AMS20,2306445,NULL,NULL
East US 2,Boydton BN8,2306446,NULL,NULL
East US,Manassas MNZ20,2306447,NULL,NULL
East US,Blue Ridge BL20,2306448,NULL,NULL
UK West,Cardiff CWL20,2306449,NULL,NULL
USGov Virginia,Boydton 1,2306450,NULL,NULL
East US 2,Boydton BN6,2306451,NULL,NULL
China North 2,Beijing BJS20,2306452,NULL,NULL
East US,Manassas MNZ20,2306453,NULL,NULL
West US,Bay BY21,2306454,NULL,NULL
UK South,London LON21,2306455,NULL,NULL
West US,Bay BY24,2306456,NULL,NULL
Central US,Des Moines DSM05,2306457,NULL,NULL
Australia East,Sydney SYD22,2306458,NULL,NULL
USGov Iowa,Des Moines 3,2306459,NULL,NULL
Canada East,Quebec YQB20,2306460,NULL,NULL
UK South,London LON21,2306461,NULL,NULL
USGov Texas,San Antonio IDC5,2306462,NULL,NULL
West Europe,Amsterdam AMS20,2306464,NULL,NULL
North Europe,Dublin DUB07,2306465,NULL,NULL
UK South,London LON21,2306466,NULL,NULL
East US,Blue Ridge BL20,2306467,NULL,NULL
USDoD Central,Des Moines 3,2306468,NULL,NULL
North Central US,Chicago CHI21,2306469,NULL,NULL
West Europe,Amsterdam AMS06,2306470,NULL,NULL
East US 2,Boydton BN7,2306471,NULL,NULL
Australia Southeast,Melbourne MEL01,2306472,NULL,NULL
East US,Blue Ridge BL20,2306474,NULL,NULL
West Europe,Amsterdam AMS07,2306475,NULL,NULL
North Europe,Dublin DUB24,2306476,NULL,NULL
West US 2,Quincy MWH01,2306477,NULL,NULL
West Central US,Cheyenne CYS05,2306478,NULL,NULL
USGov Iowa,Des Moines 4,2306479,NULL,NULL
East US,Manassas MNZ20,2306481,NULL,NULL
UK South,London LON21,2306482,NULL,NULL
South India,Chennai MAA01,2306483,NULL,NULL
West US 2,Quincy MWH02,2306484,NULL,NULL
North Europe,Dublin DUB21,2306485,NULL,NULL
West Europe,Amsterdam AMS06,2306486,NULL,NULL
Canada East,Quebec YQB20,2306487,NULL,NULL
Central India,Pune PNQ01,2306488,NULL,NULL
Central US,Des Moines DSM05,2306489,NULL,NULL
USGov Arizona,Phoenix PHX21,2306491,NULL,NULL
West Europe,Amsterdam AMS06,2306492,NULL,NULL
East US,Blue Ridge BL20,2306493,NULL,NULL
Canada East,Quebec YQB20,2306494,NULL,NULL
Southeast Asia,Singapore SIN20,2306495,SIN20PrdGPC01,SIN
Korea Central,Seoul SEL20,2306496,NULL,NULL
South Central US,San Antonio IDC1,2306497,NULL,NULL
South India,Chennai MAA01,2306498,NULL,NULL
China East,Shanghai A: China Telecom,2306499,NULL,NULL
West Europe,Amsterdam AMS20,2306500,NULL,NULL
West Europe,Amsterdam AMS20,2306501,NULL,NULL
Central India,Pune PNQ01,2306502,NULL,NULL
North Europe,Dublin DUB07,2306503,NULL,NULL
West Europe,Amsterdam AMS20,2306504,NULL,NULL
UK South,London LON21,2306505,NULL,NULL
West Central US,Cheyenne-CYS01,2306506,NULL,NULL
Canada Central,Toronto YTO21,2306507,NULL,NULL
Canada East,Quebec YQB20,2306508,NULL,NULL
West Europe,Amsterdam AMS06,2306509,NULL,NULL
East US 2,Boydton BN8,2306510,NULL,NULL
West US,Bay IDC5,2306511,NULL,NULL
Japan West,Osaka OSA22,2306512,NULL,NULL
Central US,Des Moines DSM05,2306513,NULL,NULL
East US,Blue Ridge BL20,2306514,BLAPrdGPC05,BLA
USDoD East,Boydton 3,2306515,NULL,NULL
East US 2,Boydton BN7,2306516,NULL,NULL
West Europe,Amsterdam AMS06,2306517,NULL,NULL
UK South 2,London LON20,2306518,NULL,NULL
North Europe,Dublin DUB24,2306519,NULL,NULL
Central India,Pune PNQ01,2306520,NULL,NULL
East US,Blue Ridge BL20,2306521,NULL,NULL
Japan East,Tokyo TYO22,2306522,NULL,NULL
Australia Southeast,Melbourne MEL20,2306523,NULL,NULL
South India,Chennai MAA01,2306524,NULL,NULL
East US,Manassas MNZ20,2306525,NULL,NULL
NULL,NULL,2320819,NULL,NULL
North Central US,Chicago 1,2135795,NULL,NULL
Brazil South,Campinas CPQ02,2135796,NULL,NULL
North Central US,Chicago 1,2135797,NULL,NULL
East US 2,Boydton 3,2135798,NULL,NULL
West Europe,Amsterdam AMS05,2135799,NULL,NULL
West Europe,Amsterdam 2,2135800,NULL,NULL
West Europe,Amsterdam AMS05,2135801,NULL,NULL
West Europe,Amsterdam AMS05,2135802,NULL,NULL
Central US,Des Moines 3,2135803,NULL,NULL
Japan West,Osaka OSA02,2135804,NULL,NULL
East US 2,Boydton 4,2135805,NULL,NULL
East US,Blue Ridge BL5,2135806,NULL,NULL
Japan East,Tokyo TYO01,2135807,NULL,NULL
North Europe,Dublin DUB06,2135808,NULL,NULL
North Europe,Dublin-DB5,2135809,NULL,NULL
Central India,Pune PNQ01,2135810,NULL,NULL
Central India,Pune PNQ01,2135811,NULL,NULL
West US,Bay IDC3,2135812,NULL,NULL
South Central US,San Antonio IDC2,2135813,NULL,NULL
USGov Iowa,Des Moines 2,2135814,NULL,NULL
